Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 4163,   12h12m10.6s, +36°09'56.4", 13.36, 1.659, 13.89, 0h45m, +58°37'26.33", 145°23'49.4", galaxia activa
NGC 4164,   12h12m06.7s, +13°12'11.0", 14.95, 0.590, 13.45, 0h45m, +81°35'11.66", 166°08'42.0", galaxia
NGC 4165,   12h12m13.1s, +13°14'38.5", 13.67, 1.567, 13.83, 0h45m, +81°32'44.23", 166°05'49.8", interacción galaxias
NGC 4168,   12h12m18.5s, +13°12'10.5", 11.31, 2.093, 12.49, 0h45m, +81°35'12.16", 166°06'50.1", galaxia activa
NGC 4169 (La Caja),   12h12m20.2s, +29°10'36.6", 12.49, 1.283, 12.14, 0h45m, +65°36'46.10", 152°02'43.7", galaxia activa
NGC 4170 (La Caja),   12h12m21.8s, +29°12'32.8", 13.49, 4.320, 14.54, 0h45m, +65°34'49.88", 152°00'47.5", galaxia activa
NGC 4172,   12h12m17.1s, +56°10'31.1", 13.43, 1.087, 12.90, 0h45m, +38°36'51.63", 125°54'52.3", galaxia
NGC 4174 (La Caja),   12h12m28.3s, +29°08'48.6", 13.79, 0.740, 11.82, 0h46m, +65°38'34.06", 152°03'49.8", galaxia
NGC 4175 (La Caja),   12h12m32.5s, +29°09'58.1", 13.60, 1.393, 12.59, 0h46m, +65°37'24.58", 152°02'26.0", galaxia activa
NGC 4178,   12h12m47.7s, +10°51'48.9", 17.86, 2.300, 12.72, 0h46m, +83°55'33.73", 167°41'59.8", galaxia activa
NGC 4179,   12h12m53.3s, +1°17'50.6", 11.80, 2.167, 12.11, 0h46m, +86°30'27.97", 170°43'45.8", galaxia
NGC 4183,   12h13m18.6s, +43°41'45.3", 13.36, 3.857, 14.72, 0h46m, +51°05'37.28", 138°03'52.3", galaxia
NGC 4185,   12h13m23.6s, +28°30'30.4", 12.78, 2.217, 13.92, 0h46m, +66°16'52.21", 152°35'38.0", galaxia
NGC 4187,   12h13m31.3s, +50°44'21.2", 13.40, 1.090, 12.91, 0h47m, +44°03'01.35", 131°11'53.8", blazar
NGC 4189,   12h13m48.5s, +13°25'20.7", 11.88, 2.633, 13.12, 0h47m, +81°22'01.89", 165°42'30.2", galaxia
NGC 4190,   12h13m45.7s, +36°37'43.8", 13.41, 1.633, 12.66, 0h47m, +58°09'38.74", 144°51'47.3", galaxia activa
NGC 4192,   12h13m27.6s, +14°46'10.4", 15.56, 1.300, 15.78, 0h47m, +80°01'12.16", 164°43'31.9", galaxia
NGC 4193,   12h13m54.9s, +13°10'13.7", 12.44, 1.947, 12.92, 0h47m, +81°37'08.86", 165°52'44.5", galaxia activa
NGC 4194 (Galaxia Medusa),   12h14m11.7s, +54°31'28.2", 13.51, 0.673, 11.97, 0h47m, +40°15'54.29", 127°28'37.7", galaxia activa
NGC 4197,   12h14m39.7s, +5°48'12.1", 13.29, 2.580, 13.34, 0h48m, +88°59'10.36", 169°52'12.3", galaxia activa
NGC 4198,   12h14m24.2s, +56°00'33.4", 13.74, 0.947, 13.00, 0h47m, +38°46'49.14", 126°01'05.8", galaxia
NGC 4202,   12h18m09.8s, -1°03'58.7", 14.21, 0.987, 13.36, 0h51m, +84°08'39.27", 168°52'56.4", galaxia
NGC 4203,   12h15m06.5s, +33°11'41.1", 12.14, 2.467, 13.77, 0h48m, +61°35'41.27", 148°03'16.5", galaxia activa
NGC 4206,   12h15m18.1s, +13°01'17.0", 12.29, 4.103, 13.34, 0h48m, +81°46'05.37", 165°45'28.5", galaxia activa
NGC 4210,   12h15m18.9s, +65°59'00.7", 13.27, 1.790, 13.98, 0h48m, +28°48'21.68", 116°13'01.2", galaxia
NGC 4213,   12h15m38.9s, +23°58'45.4", 13.40, 1.360, 13.62, 0h49m, +70°48'36.95", 156°34'03.3", galaxia
NGC 4216 (Galaxia Racha de Plata),   12h15m55.7s, +13°08'49.0", 10.15, 6.917, 12.22, 0h49m, +81°38'33.30", 165°33'42.4", galaxia activa
NGC 4218,   12h15m48.1s, +48°07'44.8", 13.79, 1.363, 12.95, 0h49m, +46°39'37.56", 133°39'23.4", galaxia
NGC 4219,   12h16m29.0s, -43°19'30.6", 11.51, 2.900, 12.57, 0h50m, +41°53'07.16", 133°12'21.5", galaxia
NGC 4220,   12h16m13.6s, +47°52'51.7", 12.00, 3.013, 12.83, 0h49m, +46°54'30.61", 133°52'49.3", galaxia
NGC 4221,   12h16m03.0s, +66°13'43.6", 12.51, 2.020, 13.22, 0h49m, +28°33'38.74", 115°57'43.5", galaxia
NGC 4226,   12h16m28.1s, +47°01'22.6", 13.89, 0.983, 12.79, 0h49m, +47°45'59.66", 134°42'09.4", galaxia
NGC 4230,   12h17m22.6s, -55°07'13.3", 9.67, 7.000, 13.63, 0h50m, +30°05'24.55", 121°40'37.5", cúmulo estelar abierto
NGC 4235,   12h17m11.2s, +7°11'21.4", 13.73, 3.017, 14.70, 0h50m, +87°36'00.77", 168°47'15.2", galaxia activa
NGC 4236,   12h16m45.6s, +69°27'38.7", 10.81, 21.900, 15.59, 0h50m, +25°19'43.57", 112°46'38.0", galaxia
NGC 4242,   12h17m31.9s, +45°37'00.9", 11.01, 5.000, 13.94, 0h51m, +49°10'21.26", 136°01'00.8", galaxia
NGC 4244 (Galaxia Aguja de Plata),   12h17m31.2s, +37°48'16.7", 10.16, 16.600, 13.64, 0h51m, +56°59'05.46", 143°31'11.3", galaxia
NGC 4246,   12h17m59.4s, +7°11'00.5", 13.16, 1.797, 14.03, 0h51m, +87°36'21.53", 168°36'25.8", galaxia
NGC 4247,   12h17m59.3s, +7°16'17.5", 13.86, 0.787, 12.92, 0h51m, +87°31'04.54", 168°34'20.2", radio galaxia
NGC 4248,   12h17m51.7s, +47°24'24.4", 12.71, 2.300, 12.71, 0h51m, +47°22'57.64", 134°16'18.8", galaxia
NGC 4252,   12h18m32.2s, +5°33'26.0", 14.39, 0.790, 13.29, 0h52m, +89°13'56.01", 169°01'04.2", galaxia activa
NGC 4253,   12h18m27.9s, +29°48'37.0", 13.72, 0.740, 12.32, 0h51m, +64°58'44.96", 150°58'40.4", galaxia activa
NGC 4256,   12h18m46.1s, +65°53'46.0", 12.71, 3.347, 13.77, 0h52m, +28°53'35.99", 116°13'59.4", galaxia
NGC 4261,   12h19m24.5s, +5°49'21.2", 13.00, 2.780, 14.80, 0h52m, +88°58'00.68", 168°44'13.2", galaxia activa
NGC 4262,   12h19m31.9s, +14°52'30.8", 11.69, 1.107, 11.48, 0h53m, +79°54'51.01", 163°42'03.2", galaxia
NGC 4264,   12h19m37.0s, +5°50'40.0", 13.13, 0.947, 12.61, 0h53m, +88°56'41.86", 168°40'51.1", galaxia
NGC 4266,   12h19m43.6s, +5°32'09.0", 17.48, 2.357, 14.99, 0h53m, +89°15'12.79", 168°44'15.0", galaxia activa
NGC 4267,   12h19m46.5s, +12°47'45.2", 11.92, 2.357, 13.47, 0h53m, +81°59'36.59", 165°08'13.1", galaxia
NGC 4273,   12h19m57.3s, +5°20'27.6", 12.39, 1.713, 12.91, 0h53m, +89°26'54.15", 168°43'48.9", galaxia activa
NGC 4274,   12h19m52.1s, +29°36'43.7", 10.56, 5.207, 13.01, 0h53m, +65°10'38.05", 151°02'36.9", galaxia activa
NGC 4278,   12h20m08.2s, +29°16'41.5", 10.31, 2.207, 11.65, 0h53m, +65°30'40.23", 151°19'38.5", galaxia activa
NGC 4283,   12h20m22.2s, +29°18'30.0", 12.22, 0.917, 11.68, 0h53m, +65°28'51.68", 151°16'46.3", galaxia
NGC 4287,   12h20m49.7s, +5°38'14.4", 14.62, 1.633, 14.19, 0h54m, +89°09'07.21", 168°26'47.0", galaxia activa
NGC 4289,   12h21m03.5s, +3°43'10.7", 14.07, 1.617, 13.31, 0h54m, +88°55'49.07", 168°43'47.7", galaxia activa
NGC 4290,   12h20m49.8s, +58°05'24.5", 12.92, 2.037, 13.36, 0h54m, +36°41'57.11", 123°47'47.9", radio galaxia
NGC 4292,   12h21m17.7s, +4°35'36.0", 12.34, 1.860, 12.80, 0h54m, +89°48'14.41", 168°33'20.3", galaxia
NGC 4294,   12h21m19.0s, +11°30'31.1", 18.24, 2.300, 13.23, 0h54m, +83°16'50.41", 165°40'44.0", galaxia
NGC 4295,   12h21m11.1s, +28°09'44.6", 14.16, 0.580, 12.48, 0h54m, +66°37'36.98", 152°15'08.1", galaxia
NGC 4298,   12h21m34.1s, +14°36'12.8", 11.48, 2.967, 13.02, 0h55m, +80°11'08.71", 163°33'47.7", galaxia activa
NGC 4301,   12h22m28.5s, +4°33'50.2", 13.12, 1.287, 12.96, 0h56m, +89°46'28.88", 168°16'14.5", galaxia
NGC 4302,   12h21m43.7s, +14°35'43.0", 11.75, 5.370, 12.83, 0h55m, +80°11'38.53", 163°32'31.2", interacción galaxias
NGC 4304,   12h22m14.2s, -33°29'08.1", 12.19, 2.910, 13.14, 0h55m, +51°43'30.46", 142°19'50.9", galaxia
NGC 4305,   12h22m04.9s, +12°44'18.0", 13.11, 1.893, 13.78, 0h55m, +82°03'03.38", 164°45'19.5", interacción galaxias
NGC 4306,   12h22m05.3s, +12°47'05.0", 13.56, 1.520, 13.73, 0h55m, +82°00'16.37", 164°43'24.9", interacción galaxias
NGC 4312,   12h22m32.6s, +15°32'07.5", 11.86, 3.387, 12.78, 0h56m, +79°15'13.87", 162°43'24.2", galaxia
NGC 4313,   12h22m39.8s, +11°47'54.2", 12.80, 2.967, 13.43, 0h56m, +82°59'27.07", 165°14'27.4", galaxia
NGC 4314,   12h22m33.4s, +29°53'33.8", 10.73, 3.660, 12.17, 0h56m, +64°53'47.53", 150°33'10.7", galaxia activa
NGC 4316,   12h22m43.5s, +9°19'49.4", 13.21, 2.313, 13.02, 0h56m, +85°27'31.94", 166°35'58.1", galaxia
NGC 4320,   12h22m59.0s, +10°32'45.2", 14.88, 0.530, 13.10, 0h56m, +84°14'36.04", 165°54'30.3", galaxia
NGC 4322,   12h23m02.9s, +15°54'10.6", 14.08, 0.953, 13.23, 0h56m, +78°53'10.66", 162°22'11.3", galaxia
NGC 4326,   12h23m12.9s, +6°04'11.5", 14.03, 1.007, 12.74, 0h56m, +88°43'09.73", 167°45'32.3", galaxia activa
NGC 4328,   12h23m21.3s, +15°49'04.9", 13.26, 1.007, 12.84, 0h56m, +78°58'16.30", 162°22'59.2", galaxia
NGC 4330,   12h23m18.5s, +11°21'55.9", 12.52, 4.763, 13.65, 0h56m, +83°25'25.33", 165°22'28.5", galaxia
NGC 4332,   12h22m49.8s, +65°50'29.9", 13.04, 1.830, 13.04, 0h56m, +28°56'51.44", 116°11'48.5", galaxia
NGC 4333,   12h23m23.5s, +6°02'18.4", 13.90, 0.860, 12.83, 0h56m, +88°45'02.80", 167°43'30.6", galaxia activa
NGC 4335,   12h23m04.3s, +58°26'32.8", 12.76, 1.240, 12.70, 0h56m, +36°20'48.42", 123°23'03.6", radio galaxia
NGC 4337,   12h24m02.3s, -58°07'01.6", 9.20, 3.500, 11.66, 0h57m, +27°05'37.36", 118°33'06.1", cúmulo estelar abierto
NGC 4340,   12h23m36.6s, +16°43'10.8", 11.83, 2.337, 13.15, 0h57m, +78°04'10.34", 161°40'06.4", interacción galaxias
NGC 4344,   12h23m38.8s, +17°32'17.3", 12.80, 1.700, 13.62, 0h57m, +77°15'03.85", 161°02'08.8", galaxia
NGC 4346,   12h23m29.7s, +46°59'29.1", 11.92, 2.380, 12.30, 0h56m, +47°47'52.08", 134°24'49.2", galaxia
NGC 4348,   12h23m55.2s, -3°26'42.3", 13.38, 2.363, 13.35, 0h57m, +81°45'56.60", 166°37'37.8", galaxia
NGC 4349,   12h24m10.5s, -61°52'19.0", 7.74, 15.000, 13.36, 0h57m, +23°20'20.01", 114°53'44.7", cúmulo estelar abierto
NGC 4350,   12h23m59.1s, +16°41'27.0", 11.22, 2.077, 11.31, 0h57m, +78°05'54.10", 161°37'53.1", interacción galaxias
NGC 4351,   12h24m02.8s, +12°12'09.2", 13.03, 2.300, 13.82, 0h57m, +82°35'11.89", 164°43'32.3", galaxia
NGC 4352,   12h24m06.3s, +11°12'56.0", 12.96, 1.583, 12.86, 0h57m, +83°34'25.03", 165°18'11.1", galaxia
NGC 4355,   12h26m55.8s, -0°52'47.6", 13.51, 1.160, 12.90, 1h00m, +84°19'51.98", 166°50'34.5", galaxia activa
NGC 4357,   12h24m00.7s, +48°46'36.7", 12.87, 2.170, 13.53, 0h57m, +46°00'44.39", 132°40'38.3", galaxia activa
NGC 4360,   12h24m22.9s, +9°17'25.1", 13.14, 1.103, 13.05, 0h57m, +85°29'55.88", 166°15'40.4", galaxia
NGC 4361 (Nebulosa Rociador de Césped),   12h24m32.1s, -18°47'11.6", 11.05, 1.350, 10.84, 0h58m, +66°25'27.45", 155°32'31.4", nebulosa planetaria
NGC 4369,   12h24m37.8s, +39°22'49.5", 11.76, 1.663, 12.56, 0h58m, +55°24'31.45", 141°34'57.4", galaxia
NGC 4370,   12h24m56.2s, +7°26'31.8", 13.98, 1.460, 13.91, 0h58m, +87°20'49.11", 166°54'53.0", galaxia
NGC 4371,   12h24m56.7s, +11°42'06.5", 10.95, 2.597, 12.46, 0h58m, +83°05'14.35", 164°51'09.3", galaxia
NGC 4372,   12h25m49.5s, -72°39'30.6", 10.47, 5.000, 13.70, 0h59m, +12°33'08.73", 104°20'57.6", cúmulo estelar globular
NGC 4373,   12h25m19.4s, -39°45'38.0", 11.24, 2.457, 12.63, 0h58m, +45°27'01.19", 136°10'55.6", galaxia
NGC 4375,   12h25m01.9s, +28°33'21.3", 13.48, 1.117, 13.24, 0h58m, +66°13'59.58", 151°31'55.9", radio galaxia
NGC 4377,   12h25m13.6s, +14°45'34.9", 12.18, 0.990, 11.76, 0h58m, +80°01'45.90", 162°49'37.2", galaxia
NGC 4378,   12h25m19.3s, +4°55'21.6", 13.63, 1.673, 14.27, 0h58m, +89°51'59.22", 167°30'37.3", galaxia activa
NGC 4379,   12h25m16.0s, +15°36'17.9", 11.86, 1.417, 12.08, 0h58m, +79°11'02.92", 162°13'21.9", galaxia
NGC 4380,   12h25m23.4s, +10°00'51.3", 12.91, 2.967, 14.62, 0h58m, +84°46'29.47", 165°41'18.6", Objeto BL Lac
NGC 4383,   12h25m26.8s, +16°28'02.9", 12.26, 1.180, 11.73, 0h58m, +78°19'17.88", 161°33'53.7", galaxia activa
NGC 4384,   12h25m14.1s, +54°30'13.5", 13.58, 1.393, 13.55, 0h58m, +40°17'07.31", 127°07'01.5", galaxia
NGC 4385,   12h25m44.0s, +0°34'13.1", 14.26, 1.910, 14.56, 0h59m, +85°46'52.43", 167°26'43.0", galaxia activa
NGC 4387 (Gran Rostro Galáctico),   12h25m43.0s, +12°48'28.3", 12.26, 1.360, 12.11, 0h59m, +81°58'52.41", 164°01'48.5", galaxia
NGC 4388,   12h25m48.1s, +12°39'34.5", 11.16, 3.727, 12.51, 0h59m, +82°07'46.22", 164°06'22.9", galaxia activa
NGC 4389,   12h25m36.4s, +45°40'57.8", 12.61, 2.633, 12.81, 0h59m, +49°06'22.98", 135°33'20.7", galaxia
NGC 4390,   12h25m51.9s, +10°27'23.5", 13.44, 1.927, 14.08, 0h59m, +84°19'57.21", 165°21'35.9", galaxia
NGC 4391,   12h25m21.6s, +64°55'53.1", 13.29, 0.910, 12.73, 0h58m, +29°51'27.71", 117°01'15.7", galaxia
NGC 4392,   12h25m20.7s, +45°50'41.7", 13.64, 0.867, 12.44, 0h58m, +48°56'39.06", 135°24'54.3", galaxia
NGC 4394,   12h25m56.9s, +18°12'40.9", 12.01, 3.527, 13.54, 0h59m, +76°34'39.75", 160°10'04.9", galaxia activa
NGC 4395,   12h25m50.4s, +33°32'38.9", 10.33, 2.880, 12.37, 0h59m, +61°14'41.80", 146°55'40.8", galaxia activa
NGC 4396,   12h26m00.1s, +15°40'08.2", 12.72, 2.183, 13.31, 0h59m, +79°07'12.49", 162°03'12.8", galaxia
NGC 4402,   12h26m08.8s, +13°06'37.1", 13.08, 2.967, 13.04, 0h59m, +81°40'43.57", 163°45'28.7", galaxia
NGC 4405,   12h26m08.4s, +16°10'41.9", 12.38, 1.620, 12.81, 0h59m, +78°36'38.71", 161°39'48.5", galaxia activa
NGC 4411,   12h26m48.5s, +8°52'55.7", 13.79, 1.777, 14.48, 1h00m, +85°54'24.82", 165°54'53.1", galaxia activa
NGC 4413,   12h26m33.5s, +12°36'30.1", 12.39, 2.117, 13.12, 1h00m, +82°10'50.43", 163°59'32.9", galaxia activa
NGC 4414,   12h26m28.5s, +31°13'15.3", 10.27, 2.863, 11.66, 0h59m, +63°34'05.24", 148°59'39.5", galaxia
NGC 4416,   12h26m48.0s, +7°54'59.1", 11.71, 1.147, 11.58, 1h00m, +86°52'21.41", 166°18'37.1", galaxia
NGC 4417,   12h26m51.9s, +9°34'54.0", 11.87, 2.463, 12.25, 1h00m, +85°12'26.47", 165°35'03.0", galaxia
NGC 4419,   12h26m57.7s, +15°02'41.6", 11.30, 2.543, 11.83, 1h00m, +79°44'38.84", 162°19'37.4", galaxia activa
NGC 4421,   12h27m03.8s, +15°27'31.6", 11.74, 2.527, 12.86, 1h00m, +79°19'48.85", 162°01'17.4", galaxia
NGC 4424,   12h27m12.8s, +9°25'05.1", 12.50, 2.967, 13.65, 1h00m, +85°22'15.34", 165°35'04.4", galaxia activa
NGC 4425,   12h27m14.6s, +12°43'56.3", 11.97, 2.537, 12.34, 1h00m, +82°03'24.10", 163°47'04.2", galaxia
NGC 4429,   12h27m27.8s, +11°06'18.2", 11.17, 5.023, 13.24, 1h00m, +83°41'02.11", 164°40'54.3", galaxia
NGC 4431,   12h27m28.6s, +12°17'16.3", 13.03, 1.903, 13.37, 1h00m, +82°30'04.03", 164°00'24.3", galaxia
NGC 4435 (Los Ojos),   12h27m41.8s, +13°04'35.5", 10.94, 3.247, 12.81, 1h01m, +81°42'44.83", 163°29'07.9", galaxia
NGC 4436,   12h27m42.5s, +12°18'48.5", 13.12, 1.337, 12.64, 1h01m, +82°28'31.79", 163°56'46.0", galaxia
NGC 4438 (Los Ojos),   12h27m46.9s, +13°00'21.9", 10.31, 2.717, 11.55, 1h01m, +81°46'58.37", 163°30'45.8", galaxia activa
NGC 4439,   12h28m26.4s, -60°05'59.7", 8.72, 4.000, 11.47, 1h02m, +25°06'40.16", 116°29'27.6", cúmulo estelar abierto
NGC 4440,   12h27m54.8s, +12°17'26.5", 11.86, 1.963, 12.54, 1h01m, +82°29'53.73", 163°55'08.3", galaxia
NGC 4442,   12h28m05.1s, +9°48'04.2", 11.16, 2.917, 12.49, 1h01m, +84°59'16.02", 165°12'54.4", galaxia
NGC 4445,   12h28m17.2s, +9°26'01.9", 13.39, 2.540, 13.29, 1h01m, +85°21'18.28", 165°20'32.1", galaxia
NGC 4449 (Galaxia de Caja),   12h28m12.8s, +44°05'27.5", 9.57, 6.200, 12.90, 1h01m, +50°41'52.62", 136°55'06.6", galaxia
NGC 4450,   12h28m30.9s, +17°04'56.6", 10.22, 4.630, 12.78, 1h02m, +77°42'23.50", 160°36'53.7", galaxia activa
NGC 4451,   12h28m41.8s, +9°15'23.3", 13.07, 1.360, 12.88, 1h02m, +85°31'56.74", 165°19'53.0", galaxia
NGC 4452,   12h28m44.6s, +11°45'09.1", 12.12, 2.800, 12.42, 1h02m, +83°02'10.90", 164°03'46.4", galaxia
NGC 4453,   12h28m48.1s, +6°30'34.3", 15.49, 0.660, 13.33, 1h02m, +88°16'45.76", 166°18'11.5", galaxia
NGC 4454,   12h28m52.0s, -1°56'28.9", 12.01, 2.353, 13.08, 1h02m, +83°16'11.14", 166°04'06.3", galaxia
NGC 4458 (Cadena de Markarian),   12h28m58.8s, +13°14'21.8", 12.21, 1.453, 12.54, 1h02m, +81°32'58.14", 163°08'21.2", interacción galaxias
NGC 4459,   12h29m01.3s, +13°58'33.8", 11.17, 2.850, 12.94, 1h02m, +80°48'46.17", 162°40'03.5", galaxia activa
NGC 4461 (Cadena de Markarian),   12h29m04.3s, +13°10'52.8", 11.33, 2.633, 12.17, 1h02m, +81°36'27.14", 163°09'26.8", interacción galaxias
NGC 4462,   12h29m22.4s, -23°10'05.3", 11.69, 2.663, 12.56, 1h02m, +62°02'34.80", 151°10'11.1", galaxia
NGC 4463,   12h29m58.8s, -64°47'22.9", 7.59, 5.000, 10.82, 1h03m, +20°25'17.41", 111°54'25.7", cúmulo estelar abierto
NGC 4464,   12h29m22.5s, +8°09'14.9", 12.86, 0.807, 11.81, 1h02m, +86°38'05.01", 165°37'47.9", galaxia
NGC 4468,   12h29m32.1s, +14°02'47.9", 13.34, 1.300, 13.32, 1h03m, +80°44'31.97", 162°31'35.9", galaxia
NGC 4471,   12h29m38.3s, +7°55'48.9", 16.06, 0.407, 13.36, 1h03m, +86°51'30.96", 165°39'07.6", galaxia
NGC 4473 (Cadena de Markarian),   12h29m50.1s, +13°25'36.5", 10.34, 2.950, 11.76, 1h03m, +81°21'43.31", 162°51'35.2", galaxia
NGC 4474,   12h29m54.8s, +14°03'58.1", 12.21, 1.993, 12.55, 1h03m, +80°43'21.65", 162°26'37.5", galaxia
NGC 4476,   12h30m00.3s, +12°20'46.2", 12.33, 1.203, 12.05, 1h03m, +82°26'33.55", 163°28'17.1", galaxia
NGC 4477 (Cadena de Markarian),   12h30m03.4s, +13°38'02.1", 10.56, 2.677, 12.34, 1h03m, +81°09'17.62", 162°41'20.9", galaxia activa
NGC 4478,   12h30m18.7s, +12°19'33.8", 11.59, 1.290, 11.66, 1h03m, +82°27'45.80", 163°25'18.3", galaxia
NGC 4479,   12h30m19.6s, +13°34'29.8", 12.58, 1.637, 12.68, 1h03m, +81°12'49.87", 162°40'27.8", galaxia
NGC 4482,   12h30m11.6s, +10°46'37.2", 13.55, 1.417, 13.65, 1h03m, +84°00'42.50", 164°17'01.9", galaxia
NGC 4483,   12h30m41.9s, +9°00'47.6", 12.65, 1.437, 12.73, 1h04m, +85°46'31.99", 164°59'22.6", galaxia
NGC 4485,   12h30m32.7s, +41°41'54.7", 12.10, 1.633, 12.01, 1h04m, +53°05'24.86", 139°01'06.1", interacción galaxias
NGC 4486,   12h30m59.0s, +12°16'04.3", 12.63, 0.737, 10.17, 1h04m, +82°31'15.22", 163°19'11.9", galaxia
NGC 4489,   12h30m53.5s, +16°45'22.0", 12.36, 1.423, 12.82, 1h04m, +78°01'57.46", 160°27'18.0", galaxia
NGC 4490 (galaxia Cocoon),   12h30m38.0s, +41°38'27.6", 9.96, 5.323, 12.41, 1h04m, +53°08'51.99", 139°03'58.4", interacción galaxias
NGC 4491,   12h30m58.4s, +11°28'51.8", 12.69, 2.097, 13.21, 1h04m, +83°18'27.69", 163°45'15.1", galaxia
NGC 4493,   12h31m09.6s, +0°36'41.5", 13.72, 1.187, 13.50, 1h04m, +85°49'22.03", 166°06'40.5", galaxia
NGC 4494,   12h31m25.4s, +25°46'20.4", 9.89, 3.297, 12.06, 1h04m, +69°00'59.01", 153°16'14.0", galaxia activa
NGC 4495,   12h31m24.3s, +29°08'01.3", 13.61, 1.070, 12.44, 1h04m, +65°39'18.07", 150°22'24.5", galaxia activa
NGC 4496,   12h31m40.4s, +3°56'13.6", 13.67, 2.300, 12.76, 1h05m, +89°08'54.32", 166°04'24.2", interacción galaxias
NGC 4497,   12h31m33.8s, +11°37'20.1", 12.61, 2.443, 13.23, 1h05m, +83°09'59.18", 163°33'23.8", galaxia
NGC 4498,   12h31m40.8s, +16°51'00.9", 12.42, 2.300, 12.42, 1h05m, +77°56'18.44", 160°15'17.6", galaxia
NGC 4502,   12h32m04.6s, +16°41'06.5", 14.17, 1.003, 13.46, 1h05m, +78°06'12.73", 160°18'10.8", galaxia activa
NGC 4503,   12h32m07.4s, +11°10'26.2", 11.21, 2.870, 12.44, 1h05m, +83°36'53.01", 163°40'25.9", galaxia
NGC 4506,   12h32m11.7s, +13°25'01.6", 13.36, 1.580, 13.71, 1h05m, +81°22'17.51", 162°24'36.4", galaxia
NGC 4507 (Shapley-Ames 2),   12h35m38.2s, -39°54'35.8", 13.73, 1.170, 13.06, 1h09m, +45°18'06.01", 135°22'31.7", galaxia activa
NGC 4510,   12h31m50.0s, +64°13'53.7", 13.52, 0.837, 12.24, 1h05m, +30°33'25.57", 117°31'13.8", galaxia
NGC 4512,   12h32m35.6s, +63°52'30.3", 20.19, 1.247, 13.63, 1h05m, +30°54'48.78", 117°50'26.6", interacción galaxias
NGC 4514,   12h32m44.4s, +29°42'34.5", 14.13, 0.897, 13.44, 1h06m, +65°04'44.51", 149°43'44.0", galaxia activa
NGC 4515,   12h33m06.2s, +16°15'46.5", 12.71, 0.827, 11.97, 1h06m, +78°31'32.44", 160°24'56.1", galaxia
NGC 4516,   12h33m08.8s, +14°34'20.6", 13.33, 1.877, 13.49, 1h06m, +80°12'58.33", 161°31'01.7", galaxia
NGC 4518,   12h33m13.0s, +7°50'57.0", 13.85, 1.007, 13.18, 1h06m, +86°56'21.89", 164°50'58.8", galaxia activa
NGC 4519,   12h33m31.5s, +8°39'07.2", 12.08, 2.500, 13.39, 1h07m, +86°08'11.57", 164°29'30.4", galaxia
NGC 4521,   12h32m50.5s, +63°56'13.1", 12.70, 1.577, 12.48, 1h06m, +30°51'05.87", 117°46'25.3", interacción galaxias
NGC 4522,   12h33m40.9s, +9°10'20.7", 12.87, 2.633, 13.33, 1h07m, +85°36'58.08", 164°15'09.1", galaxia
NGC 4523,   12h33m49.2s, +15°09'56.6", 15.04, 1.949, 16.15, 1h07m, +79°37'22.06", 161°00'47.8", galaxia
NGC 4526 (Galaxia Perdida),   12h34m04.3s, +7°41'48.1", 10.30, 4.690, 12.47, 1h07m, +87°05'30.51", 164°41'59.6", galaxia
NGC 4527,   12h34m09.7s, +2°39'05.3", 11.58, 4.620, 13.47, 1h07m, +87°51'46.75", 165°30'35.3", galaxia activa
NGC 4528,   12h34m07.2s, +11°19'09.9", 12.20, 1.183, 11.71, 1h07m, +83°28'08.75", 163°10'41.3", galaxia
NGC 4531,   12h34m17.1s, +13°04'22.8", 12.46, 2.633, 13.98, 1h07m, +81°42'55.81", 162°11'58.7", galaxia
NGC 4533,   12h34m23.2s, +2°19'22.8", 14.09, 2.041, 13.62, 1h07m, +87°32'04.31", 165°26'58.6", galaxia
NGC 4534,   12h34m06.9s, +35°30'56.3", 13.26, 2.884, 15.04, 1h07m, +59°16'22.30", 144°25'46.3", galaxia
NGC 4535 (Galaxia Perdida de Copeland),   12h34m21.5s, +8°11'43.1", 9.87, 5.840, 12.69, 1h07m, +86°35'35.42", 164°27'56.0", galaxia activa
NGC 4536,   12h34m28.3s, +2°11'08.0", 10.69, 4.610, 13.03, 1h07m, +87°23'49.53", 165°25'28.4", galaxia activa
NGC 4537,   12h35m01.2s, +50°50'55.1", 15.24, 0.593, 13.17, 1h08m, +43°56'23.23", 130°09'38.2", galaxia
NGC 4540,   12h34m52.1s, +15°32'55.9", 12.81, 2.507, 13.89, 1h08m, +79°14'22.48", 160°34'22.3", galaxia
NGC 4541,   12h35m11.9s, -0°13'23.9", 13.29, 1.210, 12.60, 1h08m, +84°59'17.82", 164°58'35.8", galaxia
NGC 4542,   12h34m50.8s, +50°48'09.1", 14.13, 1.080, 13.51, 1h08m, +43°59'09.32", 130°12'47.7", galaxia
NGC 4544,   12h35m37.8s, +3°01'55.9", 13.46, 1.800, 13.09, 1h09m, +88°14'37.74", 165°08'19.5", galaxia
NGC 4545,   12h34m36.9s, +63°31'21.7", 13.21, 2.050, 13.96, 1h07m, +31°15'56.78", 118°06'57.8", galaxia
NGC 4546,   12h35m30.7s, -3°47'43.4", 10.46, 2.313, 11.17, 1h09m, +81°24'58.44", 163°51'14.3", galaxia
