Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
M 107 (Cúmulo del Crucifijo),   16h32m32.2s, -13°03'17.4", 8.49, 13.000, 13.80, 5h05m, +72°14'29.28", 104°51'36.8", cúmulo estelar globular
M 108 (Galaxia Tabla de Surf),   11h11m33.2s, +55°40'23.4", 10.21, 8.700, 13.15, 23h41m, +39°06'46.65", 126°40'28.9", galaxia
M 109 (Galaxia de la aspiradora),   11h57m38.1s, +53°22'21.5", 10.00, 7.600, 13.62, 0h31m, +41°25'01.40", 129°00'48.8", galaxia
NGC 188 (Cúmulo Polarissima),    0h48m11.6s, +85°15'23.8", 11.75, 15.000, 17.37, 13h21m, +9°15'17.87", 88°04'06.0", cúmulo estelar abierto
NGC 1184,    3h16m40.6s, +80°47'50.1", 16.28, 2.827, 16.72, 15h50m, +13°45'32.71", 87°18'41.7", galaxia
NGC 1778,    5h08m03.9s, +37°01'27.7", 11.29, 6.000, 14.92, 17h39m, +57°35'28.57", 85°57'55.5", cúmulo estelar abierto
NGC 1817 (Cúmulo Doble del Hombre Pobre),    5h12m15.0s, +16°41'21.6", 12.66, 16.000, 18.42, 17h43m, +77°55'43.31", 85°01'46.0", cúmulo estelar abierto
NGC 1857,    5h20m03.3s, +39°17'29.7", 8.88, 9.000, 13.39, 17h51m, +55°19'52.41", 88°31'34.3", cúmulo estelar abierto
NGC 1883,    5h25m54.0s, +46°29'32.1", 13.43, 3.000, 15.56, 17h57m, +48°08'02.80", 90°06'36.0", cúmulo estelar abierto
NGC 1893 (Cúmulo Letra Y),    5h22m43.9s, +33°24'46.8", 9.32, 12.000, 14.46, 17h53m, +61°12'40.98", 88°37'33.6", cúmulo estelar abierto
NGC 1907,    5h28m05.0s, +35°19'34.3", 9.66, 5.000, 12.89, 17h59m, +59°18'05.17", 89°50'59.0", cúmulo estelar abierto
NGC 1931 (Nebulosa de la Mosca),    5h31m22.8s, +34°14'02.7", 11.41, 4.000, 14.16, 18h02m, +60°23'43.94", 90°28'04.2", nebulosa bipolar
NGC 1961,    5h42m05.0s, +69°22'57.0", 12.06, 3.400, 14.02, 18h14m, +25°15'14.34", 92°56'14.5", galaxia activa
NGC 1964,    5h33m21.8s, -21°56'59.4", 13.67, 2.313, 14.48, 18h03m, +63°25'10.27", 88°23'32.7", galaxia
NGC 1980 (La joya perdida de Orión),    5h35m24.0s, -5°55'04.0", 4.29, 240.000, 15.61, 18h06m, +79°27'00.98", 89°33'00.8", cúmulo de estrellas
NGC 1981 (Cúmulo Carro de Carbón),    5h35m08.9s, -4°26'04.8", 5.96, 25.000, 12.69, 18h05m, +80°56'00.78", 89°33'12.7", cúmulo de estrellas
NGC 1999 (Nebulosa 13ª Perla),    5h36m25.0s, -6°42'53.5", 11.02, 2.000, 12.27, 18h07m, +78°39'09.31", 89°46'00.8", nebulosa de reflexión
NGC 2022 (Nebulosa Creciente),    5h42m06.3s, +9°05'05.2", 12.71, 0.323, 9.99, 18h12m, +85°33'04.60", 91°52'41.0", nebulosa planetaria
NGC 2023 (Estrella del Bulto),    5h41m38.0s, -2°16'01.1", 9.10, 10.000, 13.60, 18h12m, +83°05'50.24", 91°16'06.5", nebulosa de reflexión
NGC 2071,    5h47m09.9s, +0°17'52.0", 10.53, 7.000, 14.12, 18h17m, +85°39'31.09", 92°46'00.4", nebulosa de reflexión
NGC 2090,    5h47m02.0s, -34°15'19.5", 13.16, 2.983, 14.35, 18h17m, +51°06'20.34", 90°47'46.2", galaxia
NGC 2110,    5h52m11.5s, -7°27'32.7", 14.47, 1.630, 15.00, 18h22m, +77°53'55.41", 93°38'21.4", galaxia activa
NGC 2112,    5h53m45.3s, +0°24'28.0", 9.95, 11.000, 14.89, 18h24m, +85°45'52.62", 94°25'01.8", cúmulo estelar abierto
NGC 2126,    6h02m35.8s, +49°52'28.3", 10.89, 5.000, 14.12, 18h33m, +44°46'27.33", 96°13'57.9", cúmulo estelar abierto
NGC 2129,    6h01m07.2s, +23°19'19.2", 7.35, 6.000, 10.97, 18h32m, +71°19'32.73", 96°45'13.5", cúmulo estelar abierto
NGC 2139,    6h01m08.2s, -23°40'35.3", 12.66, 2.143, 13.72, 18h31m, +61°40'33.30", 94°40'31.1", galaxia
NGC 2141,    6h02m55.2s, +10°26'44.6", 10.04, 10.000, 14.78, 18h33m, +84°12'11.11", 97°02'50.2", cúmulo estelar abierto
NGC 2146 (Galaxia Mano de Polvo),    6h18m39.1s, +78°21'41.7", 11.51, 2.913, 12.75, 18h51m, +16°17'51.55", 94°39'37.3", galaxia activa
NGC 2146,    6h23m56.7s, +78°32'04.8", 13.77, 1.687, 14.37, 18h57m, +16°07'40.14", 94°53'21.1", interacción galaxias
NGC 2149,    6h03m28.5s, -9°43'51.3", 10.04, —, —, 18h34m, +75°37'12.03", 96°17'21.0", nebulosa de reflexión
NGC 2155,    5h58m32.5s, -65°28'59.1", 17.34, 2.400, 18.98, 18h27m, +19°52'16.34", 89°58'17.6", cúmulo de estrellas
NGC 2158,    6h07m25.2s, +24°05'49.4", 9.18, 4.000, 11.93, 18h38m, +70°33'16.40", 98°11'22.7", cúmulo estelar abierto
NGC 2162,    6h00m31.4s, -63°43'39.6", 16.67, 3.000, 18.79, 18h30m, +21°37'31.35", 90°22'40.6", cúmulo estelar globular
NGC 2169 (Cúmulo El 37),    6h08m24.2s, +13°59'20.6", 6.47, 6.000, 10.10, 18h39m, +80°39'47.22", 98°26'48.1", cúmulo estelar abierto
NGC 2170 (Nebulosa del Ángel),    6h07m48.2s, -6°23'16.2", 10.15, 2.000, 11.39, 18h38m, +78°57'37.55", 97°34'07.2", nebulosa de reflexión
NGC 2175,    6h09m39.4s, +20°29'12.1", 7.36, 40.000, 14.79, 18h40m, +74°09'58.58", 98°44'58.0", cúmulo estelar abierto
NGC 2179,    6h08m02.4s, -21°45'02.5", 13.22, 1.297, 13.20, 18h38m, +63°35'50.89", 96°26'01.3", galaxia
NGC 2181,    6h02m43.4s, -65°16'14.4", 17.70, 1.500, 18.32, 18h32m, +20°04'51.79", 90°25'43.8", cúmulo de estrellas
NGC 2182,    6h09m30.3s, -6°19'50.2", 9.63, 3.000, 11.31, 18h40m, +79°00'59.74", 97°59'38.4", nebulosa de reflexión
NGC 2186,    6h12m07.2s, +5°27'22.5", 9.25, 4.000, 12.00, 18h42m, +89°11'53.47", 99°11'34.2", cúmulo estelar abierto
NGC 2188,    6h10m10.0s, -34°07'07.1", 12.75, 2.137, 11.83, 18h40m, +51°13'41.73", 95°34'17.8", galaxia activa
NGC 2192,    6h15m17.1s, +39°52'10.4", 11.44, 6.000, 15.07, 18h46m, +54°47'12.94", 99°09'32.1", cúmulo estelar abierto
NGC 2193,    6h06m17.5s, -65°06'13.2", 17.00, 1.700, 17.89, 18h35m, +20°14'45.14", 90°49'18.7", cúmulo de estrellas
NGC 2194,    6h13m46.3s, +12°49'01.0", 9.02, 5.000, 12.26, 18h44m, +81°50'18.67", 99°44'30.9", cúmulo estelar abierto
NGC 2197,    6h06m07.5s, -67°06'13.2", 17.57, 1.800, 18.45, 18h35m, +18°14'45.65", 90°31'46.7", cúmulo de estrellas
NGC 2204,    6h15m33.2s, -18°40'07.6", 9.24, 9.000, 13.74, 18h45m, +66°40'29.12", 98°29'04.8", cúmulo estelar abierto
NGC 2207,    6h16m22.4s, -21°22'36.1", 11.30, 3.233, 13.17, 18h46m, +63°57'58.87", 98°23'55.3", interacción galaxias
